filename,audio_path,actor_id,sentence_code,emotion_code,emotion,actual,predicted,correct
1001_DFA_ANG_XX.wav,data/raw/CREMA-D/AudioWAV/1001_DFA_ANG_XX.wav,1001,DFA,ANG,angry,angry,happy,False
1001_DFA_DIS_XX.wav,data/raw/CREMA-D/AudioWAV/1001_DFA_DIS_XX.wav,1001,DFA,DIS,disgust,disgust,fear,False
1001_DFA_FEA_XX.wav,data/raw/CREMA-D/AudioWAV/1001_DFA_FEA_XX.wav,1001,DFA,FEA,fear,fear,happy,False
1001_DFA_NEU_XX.wav,data/raw/CREMA-D/AudioWAV/1001_DFA_NEU_XX.wav,1001,DFA,NEU,neutral,neutral,happy,False
1001_DFA_SAD_XX.wav,data/raw/CREMA-D/AudioWAV/1001_DFA_SAD_XX.wav,1001,DFA,SAD,sad,sad,fear,False
1001_IEO_ANG_LO.wav,data/raw/CREMA-D/AudioWAV/1001_IEO_ANG_LO.wav,1001,IEO,ANG,angry,angry,neutral,False
1001_IEO_DIS_HI.wav,data/raw/CREMA-D/AudioWAV/1001_IEO_DIS_HI.wav,1001,IEO,DIS,disgust,disgust,happy,False
1001_IEO_DIS_LO.wav,data/raw/CREMA-D/AudioWAV/1001_IEO_DIS_LO.wav,1001,IEO,DIS,disgust,disgust,sad,False
1001_IEO_DIS_MD.wav,data/raw/CREMA-D/AudioWAV/1001_IEO_DIS_MD.wav,1001,IEO,DIS,disgust,disgust,happy,False
1001_IEO_FEA_HI.wav,data/raw/CREMA-D/AudioWAV/1001_IEO_FEA_HI.wav,1001,IEO,FEA,fear,fear,happy,False
1001_IEO_FEA_MD.wav,data/raw/CREMA-D/AudioWAV/1001_IEO_FEA_MD.wav,1001,IEO,FEA,fear,fear,happy,False
1001_IEO_HAP_HI.wav,data/raw/CREMA-D/AudioWAV/1001_IEO_HAP_HI.wav,1001,IEO,HAP,happy,happy,angry,False
1001_IEO_NEU_XX.wav,data/raw/CREMA-D/AudioWAV/1001_IEO_NEU_XX.wav,1001,IEO,NEU,neutral,neutral,happy,False
1001_IEO_SAD_HI.wav,data/raw/CREMA-D/AudioWAV/1001_IEO_SAD_HI.wav,1001,IEO,SAD,sad,sad,neutral,False
1001_IEO_SAD_MD.wav,data/raw/CREMA-D/AudioWAV/1001_IEO_SAD_MD.wav,1001,IEO,SAD,sad,sad,neutral,False
1001_IOM_ANG_XX.wav,data/raw/CREMA-D/AudioWAV/1001_IOM_ANG_XX.wav,1001,IOM,ANG,angry,angry,fear,False
1001_IOM_DIS_XX.wav,data/raw/CREMA-D/AudioWAV/1001_IOM_DIS_XX.wav,1001,IOM,DIS,disgust,disgust,fear,False
1001_IOM_FEA_XX.wav,data/raw/CREMA-D/AudioWAV/1001_IOM_FEA_XX.wav,1001,IOM,FEA,fear,fear,angry,False
1001_IOM_NEU_XX.wav,data/raw/CREMA-D/AudioWAV/1001_IOM_NEU_XX.wav,1001,IOM,NEU,neutral,neutral,happy,False
1001_IOM_SAD_XX.wav,data/raw/CREMA-D/AudioWAV/1001_IOM_SAD_XX.wav,1001,IOM,SAD,sad,sad,fear,False
1001_ITH_ANG_XX.wav,data/raw/CREMA-D/AudioWAV/1001_ITH_ANG_XX.wav,1001,ITH,ANG,angry,angry,happy,False
1001_ITH_DIS_XX.wav,data/raw/CREMA-D/AudioWAV/1001_ITH_DIS_XX.wav,1001,ITH,DIS,disgust,disgust,happy,False
1001_ITH_FEA_XX.wav,data/raw/CREMA-D/AudioWAV/1001_ITH_FEA_XX.wav,1001,ITH,FEA,fear,fear,happy,False
1001_ITS_ANG_XX.wav,data/raw/CREMA-D/AudioWAV/1001_ITS_ANG_XX.wav,1001,ITS,ANG,angry,angry,happy,False
1001_ITS_DIS_XX.wav,data/raw/CREMA-D/AudioWAV/1001_ITS_DIS_XX.wav,1001,ITS,DIS,disgust,disgust,neutral,False
1001_ITS_FEA_XX.wav,data/raw/CREMA-D/AudioWAV/1001_ITS_FEA_XX.wav,1001,ITS,FEA,fear,fear,happy,False
1001_ITS_NEU_XX.wav,data/raw/CREMA-D/AudioWAV/1001_ITS_NEU_XX.wav,1001,ITS,NEU,neutral,neutral,happy,False
